"date","London__HPA__inc"
"2009-06-01",0.4893
"2009-06-08",1.4171
"2009-06-15",3.9675
"2009-06-22",15.4217
"2009-06-29",25.9461
"2009-07-06",46.7465
"2009-07-13",144.0326
"2009-07-20",139.2842
"2009-07-27",81.7569
"2009-08-03",50.8275
"2009-08-10",23.2685
"2009-08-17",12.5307
"2009-08-24",8.0465
"2009-08-31",11.5129
"2009-09-07",15.7779
"2009-09-14",19.7258
"2009-09-21",29.0211
"2009-09-28",49.5278
"2009-10-05",62.7494
"2009-10-12",102.7471
"2009-10-19",151.7386
"2009-10-26",135.0368
"2009-11-02",104.3168
"2009-11-09",95.5442
"2009-11-16",73.7476
"2009-11-23",42.5676
"2009-11-30",28.1207
"2009-12-07",21.9473
"2009-12-14",15.7015
"2009-12-21",8.5534
"2009-12-28",6.2595
"2010-01-04",8.1228
"2010-01-11",5.0225
"2010-01-18",3.5153
"2010-01-25",2.2587
