"date","London__HPA__inc"
"2009-05-25",1
"2009-06-01",1
"2009-06-08",1
"2009-06-15",1
"2009-06-22",1
"2009-06-29",1
"2009-07-06",1
"2009-07-13",1
"2009-07-20",1
"2009-07-27",1
"2009-08-03",1
"2009-08-10",1
"2009-08-17",1
"2009-08-24",1
"2009-08-31",1
"2009-09-07",1
"2009-09-14",1
"2009-09-21",1
"2009-09-28",1
"2009-10-05",1
"2009-10-12",1
"2009-10-19",1
"2009-10-26",1
"2009-11-02",1
"2009-11-09",1
"2009-11-16",1
"2009-11-23",1
"2009-11-30",1
"2009-12-07",1
"2009-12-14",1
"2009-12-21",1
"2009-12-28",1
"2010-01-04",1
"2010-01-11",1
"2010-01-18",1
"2010-01-25",1
