index,time,S:Madeira__all,I:Madeira__all,R:Madeira__all,obs_mean:Madeira__ecdc__inc,obs_real:Madeira__ecdc__inc
0,0,38137.8,266.452,228898,0,0
0,7,38045.8,343.545,228913,45.9807,51.0749
0,14,36985.4,900.339,229416,123.475,112.865
0,21,35326.9,1426.05,230549,193.717,152.21
0,28,33034.5,1939.91,232328,261.499,233.631
0,35,29272.7,2734.32,235295,368.908,395.716
0,42,26480.8,2454.3,238367,311.018,278.847
0,49,23805.2,2226.58,241270,280.305,275.758
0,56,21623.9,2087.78,243590,260.687,284.323
0,63,20068.5,1660.99,245573,198.298,226.045
0,70,18914.9,1085.94,247301,121.984,153.698
0,77,18321.1,659.235,248322,72.073,72.0252
0,84,18278.2,450.287,248573,50.0463,71.9357
0,91,18288.4,272.906,248741,29.6736,33.1776
0,98,18405.9,149.527,248747,16.0173,13.1328
0,105,18699,90.8719,248512,9.96336,10.4399
0,112,19110.4,71.0924,248121,8.0737,0.750178
0,119,19492.5,48.0265,247761,5.40541,4.68272
