time,low95:S:Madeira__all,S:Madeira__all,high95:S:Madeira__all,low95:I:Madeira__all,I:Madeira__all,high95:I:Madeira__all,low95:R:Madeira__all,R:Madeira__all,high95:R:Madeira__all,low95:Madeira__ecdc__inc,Madeira__ecdc__inc,high95:Madeira__ecdc__inc
0,38137.8,38137.8,38137.8,266.452,266.452,266.452,228898,228898,228898,0,0,0
7,37895.3,38045.8,38196.4,244.782,343.545,442.309,228774,228913,229052,33.0027,45.9807,58.9586
14,36682.3,36985.4,37288.5,753.771,900.339,1046.91,229144,229416,229688,104.011,123.475,142.94
21,34764.8,35326.9,35889,1172.91,1426.05,1679.19,230042,230549,231056,159.181,193.717,228.253
28,32167.4,33034.5,33901.7,1606.15,1939.91,2273.68,231538,232328,233117,215.617,261.499,307.381
35,28126.5,29272.7,30418.9,2370.32,2734.32,3098.33,234231,235295,236359,318.804,368.908,419.011
42,25161.5,26480.8,27800.1,2106.29,2454.3,2802.3,237104,238367,239630,262.404,311.018,359.631
49,22427.7,23805.2,25182.6,1933.35,2226.58,2519.81,239919,241270,242621,240.461,280.305,320.149
56,20284.8,21623.9,22963.1,1847.33,2087.78,2328.22,242252,243590,244929,228.451,260.687,292.923
63,18835.9,20068.5,21301.1,1457.98,1660.99,1864,244324,245573,246821,171.236,198.298,225.36
70,17796.3,18914.9,20033.5,921.89,1085.94,1250,246164,247301,248439,100.895,121.984,143.074
77,17288.8,18321.1,19353.5,538.292,659.235,780.178,247275,248322,249368,57.3743,72.073,86.7717
84,17303.7,18278.2,19252.8,363.943,450.287,536.631,247590,248573,249557,39.9829,50.0463,60.1098
91,17355.5,18288.4,19221.4,207.005,272.906,338.808,247801,248741,249680,22.0854,29.6736,37.2618
98,17501.2,18405.9,19310.6,99.6921,149.527,199.362,247838,248747,249655,10.4025,16.0173,21.632
105,17811.8,18699,19586.3,54.1726,90.8719,127.571,247622,248512,249402,5.89873,9.96336,14.028
112,18234.1,19110.4,19986.7,42.9994,71.0924,99.1854,247243,248121,248998,4.96937,8.0737,11.178
119,18624.5,19492.5,20360.6,24.0582,48.0265,71.9948,246892,247761,248631,2.73707,5.40541,8.07374
