index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.537085,0.000816652,2.58174,7.80727,0.1,6.36454e-05,0.397122,0.1,-139.646182
1,0.537085,0.000816652,2.58174,7.80727,0.1,6.36454e-05,0.397122,0.1,-139.646182
2,0.537085,0.000816652,2.58174,7.80727,0.1,6.36454e-05,0.397122,0.1,-139.646182
3,0.537085,0.000816652,2.58174,7.80727,0.1,6.36454e-05,0.397122,0.1,-139.646182
4,0.533216,0.000816818,2.56408,7.79462,0.1,6.33623e-05,0.399505,0.1,-139.072241
5,0.533216,0.000816818,2.56408,7.79462,0.1,6.33623e-05,0.399505,0.1,-139.072241
6,0.531775,0.000817731,2.45368,7.80474,0.1,6.38123e-05,0.398158,0.1,-138.342894
7,0.531775,0.000817731,2.45368,7.80474,0.1,6.38123e-05,0.398158,0.1,-138.342894
8,0.531775,0.000817731,2.45368,7.80474,0.1,6.38123e-05,0.398158,0.1,-138.342894
9,0.535116,0.000818484,2.42084,7.81376,0.1,6.35183e-05,0.399966,0.1,-138.267483
10,0.531308,0.000817688,2.40555,7.79818,0.1,6.35659e-05,0.401641,0.1,-138.115470
11,0.531308,0.000817688,2.40555,7.79818,0.1,6.35659e-05,0.401641,0.1,-138.115470
12,0.531308,0.000817688,2.40555,7.79818,0.1,6.35659e-05,0.401641,0.1,-138.115470
13,0.532417,0.000819924,2.40249,7.73382,0.1,6.35514e-05,0.399902,0.1,-137.686310
14,0.532417,0.000819924,2.40249,7.73382,0.1,6.35514e-05,0.399902,0.1,-137.686310
15,0.532417,0.000819924,2.40249,7.73382,0.1,6.35514e-05,0.399902,0.1,-137.686310
16,0.532417,0.000819924,2.40249,7.73382,0.1,6.35514e-05,0.399902,0.1,-137.686310
17,0.536593,0.000820252,2.34807,7.71966,0.1,6.32635e-05,0.404142,0.1,-137.425246
18,0.536593,0.000820252,2.34807,7.71966,0.1,6.32635e-05,0.404142,0.1,-137.425246
19,0.530712,0.000819452,2.441,7.64454,0.1,6.35633e-05,0.403429,0.1,-136.861293
20,0.530712,0.000819452,2.441,7.64454,0.1,6.35633e-05,0.403429,0.1,-136.861293
21,0.531017,0.000823351,2.39216,7.58397,0.1,6.32051e-05,0.405726,0.1,-136.170011
22,0.531017,0.000823351,2.39216,7.58397,0.1,6.32051e-05,0.405726,0.1,-136.170011
23,0.531017,0.000823351,2.39216,7.58397,0.1,6.32051e-05,0.405726,0.1,-136.170011
24,0.535798,0.000824515,2.36256,7.43581,0.1,6.28496e-05,0.412775,0.1,-134.635023
25,0.535798,0.000824515,2.36256,7.43581,0.1,6.28496e-05,0.412775,0.1,-134.635023
26,0.535798,0.000824515,2.36256,7.43581,0.1,6.28496e-05,0.412775,0.1,-134.635023
27,0.535264,0.00083195,2.22342,7.26772,0.1,6.21541e-05,0.417295,0.1,-133.726647
28,0.528908,0.000831998,2.28329,7.16587,0.1,6.273e-05,0.418736,0.1,-132.279373
29,0.528908,0.000831998,2.28329,7.16587,0.1,6.273e-05,0.418736,0.1,-132.279373
30,0.532897,0.000837087,2.20065,6.87616,0.1,6.1709e-05,0.432321,0.1,-129.432217
31,0.532897,0.000837087,2.20065,6.87616,0.1,6.1709e-05,0.432321,0.1,-129.432217
32,0.532897,0.000837087,2.20065,6.87616,0.1,6.1709e-05,0.432321,0.1,-129.432217
33,0.532897,0.000837087,2.20065,6.87616,0.1,6.1709e-05,0.432321,0.1,-129.432217
34,0.525988,0.000845194,2.19545,6.50502,0.1,6.13334e-05,0.450378,0.1,-125.442639
35,0.525988,0.000845194,2.19545,6.50502,0.1,6.13334e-05,0.450378,0.1,-125.442639
36,0.525988,0.000845194,2.19545,6.50502,0.1,6.13334e-05,0.450378,0.1,-125.442639
37,0.528693,0.000858246,2.0907,6.10786,0.1,6.01529e-05,0.467304,0.1,-122.316886
38,0.528693,0.000858246,2.0907,6.10786,0.1,6.01529e-05,0.467304,0.1,-122.316886
39,0.528693,0.000858246,2.0907,6.10786,0.1,6.01529e-05,0.467304,0.1,-122.316886
40,0.520942,0.000864173,2.038,5.79771,0.1,5.92757e-05,0.495017,0.1,-120.516793
41,0.52236,0.000879073,1.96815,5.52777,0.1,5.77805e-05,0.523937,0.1,-119.494008
42,0.511543,0.000870345,2.29513,5.57971,0.1,5.9882e-05,0.508279,0.1,-118.067059
43,0.522611,0.000889778,1.99433,5.31198,0.1,5.66375e-05,0.549191,0.1,-115.223153
44,0.522611,0.000889778,1.99433,5.31198,0.1,5.66375e-05,0.549191,0.1,-115.223153
45,0.522611,0.000889778,1.99433,5.31198,0.1,5.66375e-05,0.549191,0.1,-115.223153
46,0.522611,0.000889778,1.99433,5.31198,0.1,5.66375e-05,0.549191,0.1,-115.223153
47,0.506368,0.000909183,1.99932,5.12573,0.1,5.51676e-05,0.597703,0.1,-114.621123
48,0.507514,0.000898715,2.22456,5.18961,0.1,5.60138e-05,0.577881,0.1,-113.502190
49,0.484624,0.000922393,2.29208,5.04244,0.1,5.41689e-05,0.639611,0.1,-111.865926
50,0.484624,0.000922393,2.29208,5.04244,0.1,5.41689e-05,0.639611,0.1,-111.865926
