index,time,S:Madeira__all,I:Madeira__all,R:Madeira__all,obs_mean:Madeira__ecdc__inc,obs_real:Madeira__ecdc__inc
0,0,13856.3,141.084,253305,0,0
0,7,14109,149.174,253044,38.6716,43.0458
0,14,13825,458.681,253018,124.494,114.055
0,21,13283.4,712.132,253307,190.768,150.496
0,28,12439,961.653,253901,255.333,228.419
0,35,10903.7,1366.53,255032,362.667,388.786
0,42,9795.41,1208.77,256298,297.037,266.533
0,49,8805.08,1100.62,257396,268.594,264.274
0,56,8063.62,1064.35,258174,258.207,281.323
0,63,7553.48,865.102,258883,199.7,227.149
0,70,7240.41,572.43,259489,123.59,154.907
0,77,7199.93,351.873,259750,74.2574,74.21
0,84,7373.85,248.552,259680,54.1665,76.4932
0,91,7609.19,152.489,259540,32.598,36.1677
0,98,7925.21,81.59,259295,17.2866,14.4089
0,105,8315.14,49.6688,258937,11.0145,11.4939
0,112,8733.01,42.5661,258526,9.95148,2.14369
0,119,9154.71,29.3389,258118,6.795,6.01997
50,0,7657.19,0.0268285,259645,0,0
50,7,8113.39,11.4491,259177,5.27878,6.19092
50,14,8328.6,190.375,258783,87.1426,69.9407
50,21,8433.95,292.298,258576,121.347,151.634
50,28,8376.35,410.522,258515,166.385,169.589
50,35,7952.61,655.719,258694,269.202,258.519
50,42,7816.09,554.331,258932,202.629,207.09
50,49,7591.36,574.111,259137,218.178,203.494
50,56,7275.49,636.776,259390,243.659,206.323
50,63,7120.12,563.484,259618,204.853,218.13
50,70,7161.75,404.796,259735,138.799,133.716
50,77,7356.95,264.461,259681,89.5503,86.2204
50,84,7628.78,188.654,259485,66.3581,84.2674
50,91,7980.4,114.439,259207,39.5222,40.6078
50,98,8398.05,56.9225,258847,19.4672,17.6324
50,105,8842.09,31.8428,258428,11.5632,10.8916
50,112,9281.11,27.9847,257993,10.8539,10.3729
50,119,9727.61,18.6627,257556,7.06223,8.68038
100,0,13662.7,180.051,253459,0,0
100,7,13867.3,185.235,253249,48.4234,39.4878
100,14,13592.8,465.029,253244,127.816,124.732
100,21,13077.1,698.663,253526,189.597,173.407
100,28,12275,930.417,254097,250.326,227.046
100,35,10797.5,1320.65,255184,355.36,321.629
100,42,9750.58,1158.95,256392,288.539,280.651
100,49,8817.1,1061.34,257424,263.185,212.542
100,56,8104.64,1037.46,258160,256.068,238.25
100,63,7609.71,848.153,258844,199.33,210.276
100,70,7307.85,563.588,259431,123.994,128.234
100,77,7272.44,347.378,259682,74.7331,82.963
100,84,7445.96,245.725,259610,54.573,72.4406
100,91,7682.75,150.757,259468,32.8428,29.0982
100,98,8000.75,80.4732,259221,17.3755,16.4034
100,105,8391.75,48.8929,258861,11.048,9.95888
100,112,8809.75,41.981,258450,9.99701,9.01828
100,119,9231.86,28.9051,258041,6.81699,5.79522
150,0,19746.3,267.302,247288,0,0
150,7,19744.5,314.774,247243,76.3064,67.3932
150,14,19327.7,597.28,247377,149.357,179.104
