index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
1,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
2,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
3,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
4,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
5,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
6,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
7,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
8,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
9,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
10,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
11,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
12,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
13,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
14,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
15,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
16,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
17,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
18,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
19,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
20,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
21,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
22,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
23,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
24,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
25,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
26,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
27,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
28,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
29,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
30,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
31,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
32,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
33,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
34,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
35,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
36,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
37,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
38,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
39,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
40,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
41,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
42,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
43,0.0518376,0.000527807,27.5888,5.29646,0.1,3.38068e-05,0.186247,0.1,-103.598871
