index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.98,0.000640353,1.11704,5,0.2,1e-07,0.8,0.1,-152.336
1,0.98,0.000640353,1.11704,5,0.2,1e-07,0.8,0.1,-152.336
2,0.98,0.000640353,1.11704,5,0.2,1e-07,0.8,0.1,-152.336
3,0.98,0.000640353,1.11704,5,0.2,1e-07,0.8,0.1,-152.336
4,0.98,0.000473676,0.886535,5,0.2,1e-07,0.8,0.1,-136.976
5,0.98,0.000473676,0.886535,5,0.2,1e-07,0.8,0.1,-136.976
6,0.98,0.000473676,0.886535,5,0.2,1e-07,0.8,0.1,-136.976
7,0.98,0.000727728,1.07483,5,0.2,1e-07,0.8,0.1,-136.873
8,0.98,0.000727728,1.07483,5,0.2,1e-07,0.8,0.1,-136.873
9,0.98,0.000727728,1.07483,5,0.2,1e-07,0.8,0.1,-136.873
10,0.98,0.000727728,1.07483,5,0.2,1e-07,0.8,0.1,-136.873
11,0.98,0.000727728,1.07483,5,0.2,1e-07,0.8,0.1,-136.873
12,0.98,0.000896272,0.981473,5,0.2,1e-07,0.8,0.1,-132.969
13,0.98,0.000755162,0.949485,5,0.2,1e-07,0.8,0.1,-134.356
14,0.98,0.000755162,0.949485,5,0.2,1e-07,0.8,0.1,-134.356
15,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
16,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
17,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
18,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
19,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
20,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
21,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
22,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
23,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
24,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
25,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
26,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
27,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
28,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
29,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
30,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
31,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
32,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
33,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
34,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
35,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
36,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
37,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
38,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
39,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
40,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
41,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
42,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
43,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
44,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
45,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
46,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
47,0.98,0.000805332,0.992328,5,0.2,1e-07,0.8,0.1,-132.583
48,0.98,0.000882899,0.927481,5,0.2,1e-07,0.8,0.1,-132.376
49,0.98,0.000882899,0.927481,5,0.2,1e-07,0.8,0.1,-132.376
